Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      384    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(concatenate)
      384    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:148(concatenate)
      382    0.003    0.000    0.006    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/utils/custom_utils.py:155(prepare_compute_derivatives)
      382    0.005    0.000    0.356    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/utils/custom_utils.py:177(postprocess_compute_derivatives)
      382    0.002    0.000    0.382    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/custom_explicit/custom_explicit.py:182(compute_derivatives)
      378    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/utils/general_utils.py:7(to_list)
      367    0.001    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:435(__setitem__)
      353    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/operation_base.py:189(get_input_id)
      304    0.001    0.000    0.106    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_base.py:387(multiply)
      266    0.081    0.000    0.372    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/cross.py:107(compute_cross_jac)
      266    0.013    0.000    0.269    0.001 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/cross.py:150(compute_cross_jac)
      260    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/operation_base.py:207(get_lang_output)
      260    0.001    0.000    0.010    0.000 /home/jyan_linux/Downloads/Software/lsdo_UVLM_new/lsdo_uvlm/lsdo_uvlm/uvlm_system/solve_circulations/utils/einsum_kij_kij_ki.py:38(compute)
      256    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/simulator.py:486(check_variable_existence)
      247    0.003    0.000    0.009    0.000 /home/jyan_linux/Downloads/Software/lsdo_UVLM_new/lsdo_uvlm/lsdo_uvlm/uvlm_system/solve_circulations/utils/einsum_kij_kij_ki.py:50(compute_derivatives)
      231    0.001    0.000    0.001    0.000 {method 'take' of 'numpy.ndarray' objects}
      230    0.000    0.000    0.000    0.000 {method 'indices' of 'slice' objects}
      230    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_sputils.py:344(is_pydata_spmatrix)
      214    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/utils/general_utils.py:20(get_only)
